taxon_name,random_forest_m1,xgboost_m1,random_forest_m2,xgboost_m2,random_forest_m3,xgboost_m3,random_forest_m4,xgboost_m4
Lanius collurio,0.16495188511840372,0.15706249401549688,0.5410364509497388,0.408043513760258,0.9153951797027071,0.9063711792170787,0.8881525352297797,0.9101384434166591
Lanius cristatus,0.2513663125933657,0.23866121475957705,0.3932725804256066,0.44883820104608013,0.8923443767245316,0.9155679177989281,0.8359122031267074,0.798515246637136
Larus canus,0.13355392245526138,0.13914662398000158,0.7038766864501398,0.6396655378374082,0.8611491896864409,0.9566843792782684,0.6151607424870731,0.6998971804833265
Lasiopodomys brandtii,0.15213597152547306,0.18415192632386113,0.4000927207404473,0.45175524441480663,0.6945094158484983,0.6746215753184427,0.3986135349539074,0.37337009570545227
Lemmus lemmus,0.09793582713318479,0.07803017033657447,0.30773118292330154,0.3015188810850233,0.45052195486707197,0.36081387463637526,0.3214323677113073,0.27755845691817693
Leopardus pardalis,0.7518606595803392,0.485194625553449,0.9206347631486478,0.9331572376648167,0.7855505013291089,0.845085408106184,0.9448454795762233,0.9612203309352341
Lepidobatrachus llanensis,0.3739786936501302,0.3747278912576635,0.10072192125096888,0.09051552374604194,0.6070744190449006,0.6930900280774076,0.1716481873439391,0.2560279510727129
Lepomis cyanellus,0.6277627468969995,0.6005662858746659,0.3532689783799923,0.4533064173399488,0.8290955653641242,0.6653428426472568,0.2933585335730169,0.3447921657291251
Lepomis gibbosus,0.37881616782782845,0.40173869832048287,0.5731265315084674,0.5004279182904738,0.796652532639225,0.6806504161623335,0.49620823080327936,0.522991629893119
Lepus arcticus,0.2000689714819133,0.2635628741146075,0.6389543772120908,0.6167727209674215,0.672594128858416,0.7669108596523442,0.6165279563797923,0.48580395914431307
Lepus timidus,0.2334864893325069,0.173337328672954,0.6836642713016935,0.5773836173069823,0.6634651846899839,0.6234670184459569,0.6669354665258539,0.7202214584362885
Libellula auripennis,0.5935144120538781,0.4832577600048033,0.6085426151506079,0.5555233863116055,0.650737202648777,0.6270539039214228,0.7768410605623675,0.7806875998926913
Lichmera indistincta,0.08486381876263846,0.08802279057429327,0.3758395615380767,0.34122730530493367,0.8985124738756454,0.9214111939509086,0.9807850477799835,0.9526355913354175
Limanda limanda,0.1367744873554195,0.13742130373406206,0.6650041922781772,0.6229191167251477,0.6045127974685197,0.611643966873676,0.7173621225356519,0.6816650571681868
Loxia curvirostra,0.14281068510823589,0.15715507415371635,0.33437983524662773,0.35065471364125683,0.7108503850995613,0.810895200002778,0.7244797980409369,0.7830329886661493
Macrobrachium heterochirus,0.5763650987983715,0.9219164443847775,0.5975449745397869,0.4693248828610024,0.7415576765109034,0.8779959040578881,0.7750019310927635,0.7568213065075676
Macrotermes malaccensis,0.41366755190029814,0.33673852479305993,0.3853244417317196,0.23358733276576002,0.37567049814691894,0.24709221278201582,0.7514282630559413,0.38165740992922925
Malurus lamberti,0.35371197670986926,0.30400805986403184,0.7182675262942442,0.9968627689536875,0.8054206882376818,0.8255370472993161,0.8691387505440173,0.9316934777999454
Mannophryne trinitatis,0.5938118732539219,0.8781302888297513,0.15699686931525655,0.3709031923529936,0.5755461734379707,0.4972035063919533,0.7077648795355135,0.5082465628821669
Megascops asio,0.3085874412911337,0.3165284131129,0.9007670144806996,0.8750202815604566,0.5691799453064963,0.5289077227807161,0.8649017438271654,0.907537377645104
Melanogrammus aeglefinus,0.16367516743435417,0.1736487013594116,0.7804839296504094,0.7824730678109669,0.7698075112393344,0.7890881028330107,0.785221929015597,0.7051603616800305
Melanonus zugmayeri,0.09968465475293994,0.12073097499669382,0.8299074792266639,0.5889627748480638,0.7744006458719042,0.5613745048892002,0.8369445033231382,0.9199360587477191
Meliphaga lewinii,0.10846782882001321,0.08097218953368689,0.3929700860081546,0.6119298072214058,0.6806397848175186,0.7457109720326093,0.7888931580364015,0.6951476598542253
Melospiza georgiana,0.12561283378135255,0.11570277374349158,0.5644627995414814,0.5339378768176793,0.912546877039434,0.8336131022148063,0.9196739195828226,0.844884694097387
Menippe mercenaria,0.27048621799933265,0.3725427217819172,0.4055533078237632,0.5407418879742605,0.41580188985296385,0.4873974827653,0.4382212664789031,0.48175520780355235
Mephitis mephitis,0.9296615885637529,0.7973961736518833,0.8762658067286339,0.9988221827434843,0.9076727594054925,0.9025517565552968,0.787310452840525,0.7156191812634232
Meriones unguiculatus,0.18595949368934098,0.13334593157213162,0.5905318844222355,0.5288650404274206,0.7805237157585553,0.6844177221048676,0.7028183243618532,0.5701606283134644
Microcerotermes dubius,0.9420747482780125,0.8562215194340287,0.6894748880767412,0.3760382082142197,0.6894748880767441,0.4130181401896378,0.4614682457254162,0.47899112845308095
Microgale talazaci,0.37268511172577423,0.2903894153793143,0.8972107527530062,0.7809502744540109,0.7551111969823527,0.7749280900187588,0.9643617380207374,0.8998933013125039
Microtus arvalis,0.10219798937884178,0.061353004490377755,0.47461925298404095,0.3437228294907012,0.6241326826946929,0.49710663985026815,0.35024604146246996,0.2524186817701887
Microtus longicaudus,0.10365280163711252,0.10190975166761991,0.4275222269743618,0.4028201966624362,0.6730128329059177,0.6533533637158703,0.45534593372283066,0.4184073674762575
Microtus mexicanus,0.18105768783748183,0.3115704999083989,0.7789197225466791,0.5994106504529246,0.8822407506605237,0.8343004453096308,0.6186682861345043,0.43206499180583
Microtus ochrogaster,0.19061584745002688,0.21642431248531266,0.5857803412955528,0.5851580176324538,0.8177001805852767,0.8229831498600584,0.5465284966088488,0.516270542548659
