taxon_name,M1-R,M-MTE,M2-R,M4-R,M4-PGLS,M1-RF,M2-RF,M3-RF,M4-RF,M1-XGB,M2-XGB,M3-XGB,M4-XGB,Residual-RF,Residual-XGB,M3-R
Puffinus nativitatis,0.22511253844463758,0.3087421393507244,0.42492015030929253,0.31852433854616574,0.3292585645243461,0.10455317768042537,0.11597681839104362,0.8993615934879113,0.41602607182298834,0.09987979698916595,0.1137722584461268,0.9028025509883031,0.25464829187033267,0.6131168284021197,0.6989607959784048,0.5443823962744526
Pygoscelis adeliae,0.299784303486589,0.17368533006509906,0.3655264814421337,0.27277903066910597,0.2053652373266294,0.6292014937280073,0.6548532586151631,0.7408660630218405,0.6374605152163124,0.5528288120020725,0.762465106976455,0.9545024369585535,0.9600648797141212,0.9818279897427682,0.9620686099000993,0.7570265150185165
Pygoscelis papua,0.3011125744231521,0.1599699992422043,0.362224380986252,0.2670891858955609,0.1860442999284454,0.34085790675990285,0.5591637798536879,0.6002186890036155,0.5733596852842898,0.4069784496579936,0.8049980253968145,0.6769929164538906,0.7817375942902115,0.8952475578211329,0.863309471437504,0.813606434224056
Rana muscosa,0.031077389685677068,0.23631828322077764,0.24576067977422883,0.18687879130610158,0.04388964897065567,0.01683783017890397,0.4770545429933101,0.48900529935628884,0.4988240538531994,0.02046212862951493,0.17095520008017512,0.4870670448731946,0.17409999799442452,0.3906759012558756,0.4008211799650936,0.5320532238997585
Rana temporaria,0.032368498638683504,0.07532122153212682,0.07064062986253147,0.06927601323775823,0.02958515320455593,0.01774528979120723,0.08076046089565365,0.11142617862740167,0.08154682757974786,0.016575108528050584,0.10966251496726286,0.20103529566149558,0.09656361535126472,0.26351011605531616,0.2657577199033687,0.32964140954434945
Rattus fuscipes,0.1916846804636279,0.5691234472488569,0.6071220252727904,0.3850066250450017,0.46727097279238305,0.18885777778037915,0.7039216498647007,0.9961091354524976,0.8789897563421605,0.1436712198369261,0.7526136203646356,0.8593539177745622,0.7524984854232828,0.8554261984990384,0.8847264055292848,0.7128093114072426
Rattus lutreolus,0.3582695370320148,0.5469339833987464,0.5489582041148265,0.52418130792055,0.7644513185535846,0.6421519808755164,0.71327450529962,0.6174451640111445,0.6497167241878703,0.6940193737064015,0.6289898119076968,0.5598914538771593,0.49668952129746574,0.637019134386169,0.6779524420793837,0.5662994503309156
Rhabdomys pumilio,0.27406979422907607,0.5244459171512821,0.5449559109204788,0.6350703346247925,0.7487492493237622,0.47864264745119023,0.8950811858763024,0.6303649165048355,0.9614847547315498,0.44183216753193605,0.7645847350056773,0.5918667606780762,0.744268260733647,0.5798367663123186,0.561666236564001,0.6162821118306183
Rhinonicteris aurantia,0.12430423962373095,0.5083324613296915,0.3844049356765691,0.2922183535158325,0.48626475847307055,0.7374807341756747,0.8133504934694565,0.7770685347463907,0.8651245265649289,0.20658648639808155,0.8017468833161322,0.9500518907171998,0.5748237868779716,0.8414969774253366,0.8659394156314387,0.8006932927895271
Rhyacotriton olympicus,0.36499698991451784,0.5099901140589996,0.7357509320129513,0.3711947299692521,0.18173220153246858,0.34517145804441807,0.44437889689240917,0.37441459577413155,0.42543565994142674,0.5521140054574,0.41382407659957715,0.3960059736173137,0.3628360679370048,0.2949015246535115,0.2786754172012549,0.4219843138974878
