pipeline,split,model,algo,params,train_R2_mean,train_R2_sd,train_RMSE_mean,train_RMSE_sd,test_R2_mean,test_R2_sd,test_RMSE_mean,test_RMSE_sd
avg,density,m2,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.9135397607779107,0.02444291277798448,0.4304787934110511,0.029540661929014705,0.472593533616595,0.3475977234219652,0.6595964044264127,0.19370589144928002
avg,density,m2,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.9232741354026865,0.021492303832440596,0.40558467702680534,0.02755191037132564,0.45894286829586195,0.3181367325366008,0.6650186509847664,0.15132736509919803
avg,density,m2,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.9217445748160028,0.02142399524772168,0.4099346447415272,0.02793386708970539,0.4513259121007992,0.3447171717514595,0.6720879109906848,0.178707274023491
avg,density,m2,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}",0.930569109594337,0.01887452406567198,0.3861517055946835,0.02554681928395417,0.43743254005421617,0.3191303815271173,0.6760406666058898,0.1389269996109692
avg,density,m2,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",0.9321821388346194,0.017628118650136828,0.3821970906892908,0.026308299174991796,0.391212337560406,0.37301180187189287,0.7030957744408106,0.16207981274106506
avg,density,m2,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",0.9394712209775274,0.015936226019676078,0.36087597412447564,0.02366965583244939,0.3832991092426375,0.3563003728040992,0.6995867686852846,0.1267933934474458
avg,density,m2,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",0.9196907879536846,0.02282226024959694,0.41477448705373143,0.028321594105703517,0.46754936382796314,0.3361356282208547,0.6593632816364947,0.1683293009665868
avg,density,m2,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1}",0.9275043018723677,0.019790223679288708,0.3945409344063398,0.026591011241213085,0.44304414932898084,0.3160967080160812,0.6727824615397926,0.13868313090204035
avg,density,m2,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.9273879727512788,0.019897153010086842,0.39483391289023556,0.026734411789467147,0.44537204424499066,0.3378005668471866,0.6710342265634757,0.15444323657588396
avg,density,m2,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",0.9343384877959213,0.017357240140206058,0.37582311863124207,0.024938928424737643,0.41638454794234586,0.33354558753699354,0.6837971059664817,0.12914698642384942
avg,density,m2,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05}",0.9369108438146666,0.016614289539745402,0.3684649356649288,0.024966011389941777,0.38611599512179706,0.36990133217305965,0.7006082768278492,0.1429329147337401
avg,density,m2,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",0.9417927140086462,0.015216736682376795,0.3539551559189354,0.023309579669053823,0.3603469099459248,0.36426004054054495,0.7093565921256189,0.11839087938678948
avg,density,m2,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 1}",0.926948881530268,0.022165814764040108,0.3946216068278943,0.03377713860060777,0.4851373235851046,0.2998969203682999,0.6574419950136254,0.17813938458853157
avg,density,m2,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 3}",0.9233352643124022,0.02245723427419562,0.4047101927745915,0.03238110512912442,0.47170765690674815,0.29933644809601906,0.6683202943164555,0.18387269077636764
avg,density,m2,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1}",0.9714648653792951,0.00866471207682027,0.24655861950719388,0.023706729955804588,0.45900157521892987,0.2877801549266445,0.6709498706481887,0.15720069504071132
avg,density,m2,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",0.9485252391842682,0.013862896816524008,0.3324106401448275,0.022940616771771703,0.45967242189029955,0.28343527214152114,0.6751648839231335,0.17233576692447594
avg,density,m2,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1}",0.982671029251138,0.0045979313289228165,0.19287802084447522,0.011417996295782043,0.44881222679742494,0.28252482786615907,0.6768515881242559,0.15236639782034495
avg,density,m2,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 3}",0.9505595334803532,0.013183074322856,0.3258293509622477,0.02071229944623319,0.4578296337570258,0.28169277290348765,0.6758707875799185,0.1705516348591765
avg,density,m3,lm,{},0.9467139689561129,0.012243993537106868,0.3394562865125611,0.027027992143611016,0.22994258204063228,0.717413656754154,0.6457050947603272,0.18795399444806402
avg,density,m3,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.9587999215502407,0.008331334036099048,0.29943198006908045,0.023737754057963075,0.37704938963895274,0.45052381043750633,0.6605842818982909,0.13269456333446222
avg,density,m3,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.9656584466893839,0.007113464122239872,0.2734326990833374,0.024811341944278684,0.37937651078597046,0.48146187118474293,0.6425250076484552,0.13503229351029353
avg,density,m3,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.9667429443464928,0.006714666250437488,0.26926726606471,0.024649861878338328,0.3451269898760009,0.48023738949099953,0.67047237242016,0.12955864310214268
avg,density,m3,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}",0.9737869663193889,0.00522544084506786,0.23942038810925861,0.024979398409253426,0.31902521799999567,0.5244029299246415,0.6674930286437242,0.12909476283015245
avg,density,m3,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",0.9788831250543991,0.004065329451938737,0.21543516539113328,0.025268603845381973,0.3000008826430419,0.5397268181822189,0.67616948502299,0.13177135834239298
avg,density,m3,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",0.9850390714153322,0.0030337084070280133,0.18226834064119773,0.027290499758435376,0.23128513451167393,0.6372185348621446,0.6872605863286271,0.14990487365061994
avg,density,m3,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",0.9630035225010948,0.007467873025388719,0.2838871079484252,0.02454628770229557,0.3841793672460708,0.45667313792100833,0.6507588494376211,0.12841215716028326
avg,density,m3,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1}",0.9697782578660217,0.005921230399133773,0.2570289729419166,0.025363151607258074,0.36849598622747487,0.49958859436513925,0.6427193686865538,0.13879902264117755
avg,density,m3,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.9710028516084371,0.005722541038801121,0.25172783677950933,0.02484982778692156,0.3375641812795135,0.4978805679351209,0.6669068380328943,0.1265085350857999
