Species,wet_mass_g,wet_mass_kg,BMR,BMR_unit,temperature,temperature_unit,Food,Habitat,Torpor,Islands,Mountains,source_file,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Dendrobates auratus,11.0,0.011,0.007249,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Desmognathus fuscus,1.77,0.00177,0.000885,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Desmognathus monticola,2.09,0.00209,0.00073986,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Desmognathus quadramaculatus,1.6,0.0016,0.0004288,W,5.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Dicamptodon ensatus,23.41,0.02341,0.0044479,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Discoglossus pictus,101.25,0.10125,0.01609875,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Eleutherodactylus coqui,30.7,0.0306999999999999,0.0093941999999999,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Eleutherodactylus portoricensis,4.06,0.0040599999999999,0.0013804,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Eurycea bislineata,5.3,0.0053,0.0019822,W,5.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Eurycea longicauda,1.14,0.00114,0.00042864,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.956454770892,-5530.345352799066,756.4879785710095,-2858.0210740571724,5842.770620919135,1.3351243689653378,44.31101488242641,159.07608378086368,0.032567874572381,0.0447058690203043
Eurycea multiplicata,1.57,0.00157,0.00061701,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Eurycea nana,0.71,0.0007099999999999,0.00018957,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Eurycea neotenes,0.154,0.000154,7.3304e-05,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Geotrypetes seraphini,1.9,0.0019,0.000817,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
