taxon_name,wet_Mass_kg,temperature,pc1,pc2,pc3,pc4,pc5,BMR
Semibalanus balanoides,4.6e-06,5.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,1.08008e-05
Semibalanus balanoides,5e-06,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,1.5556500000000003e-05
Thysanoessa inermis,8.01e-06,11.45,-10458.123820215762,512.5326886491155,18.324692094407244,-0.1056981956425668,-0.131972458741252,4.7248587e-05
Thysanoessa macrura,6e-06,-1.0,-10458.123820215762,512.5326886491163,18.32469209440889,-0.1056981956426404,-0.1319724587414963,1.21134e-05
Thysanoessa macrura,8.999999999999999e-06,-1.0,-10458.123820215762,512.5326886491163,18.32469209440889,-0.1056981956426404,-0.1319724587414963,1.87704e-05
Thysanoessa macrura,3.4e-05,2.6,-10458.123820215762,512.5326886491163,18.32469209440889,-0.1056981956426404,-0.1319724587414963,9.63696e-05
Thysanoessa macrura,5e-05,-0.5,-10458.123820215762,512.5326886491163,18.32469209440889,-0.1056981956426404,-0.1319724587414963,4.89e-05
Thysanoessa macrura,5e-05,0.7,-10458.123820215762,512.5326886491163,18.32469209440889,-0.1056981956426404,-0.1319724587414963,0.00010778
Triops cancriformis,0.00016,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00056
Triops cancriformis,0.00023,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.000368
Triops cancriformis,0.00041,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0007175
Austrothelphusa transversa,0.002,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0015154
Austrothelphusa transversa,0.01,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.003015
Austrothelphusa transversa,0.015,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0033734999999999
Austrothelphusa transversa,0.02,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.003842
