taxon_name
Sauromalus ater
Iguana iguana
Dipsosaurus dorsalis
Moloch horridus
Pogona barbata
Ctenophorus nuchalis
Intellagama lesueurii
Cnemidophorus murinus
Podarcis lilfordi
Podarcis muralis
Lacerta agilis
Lacerta viridis
Acanthodactylus scutellatus
Acanthodactylus schmidti
Acanthodactylus schreiberi
Acanthodactylus opheodurus
Acanthodactylus pardalis
Psammodromus algirus
Trogonophis wiegmanni
Diplometopon zarudnyi
Blanus cinereus
Sphenodon punctatus
Crocodylus porosus
Alligator mississippiensis
Struthio camelus
Apteryx owenii
Apteryx australis
Dromaius novaehollandiae
Florisuga mellivora
Trochilus scitulus
Chrysuronia oenone
Orthorhyncus cristatus
Chlorostilbon mellisugus
Eugenes fulgens
Lampornis clemenciae
Archilochus alexandri
Chaetocercus mulsant
Patagona gigas
Oreotrochilus estella
Ocreatus underwoodii
Urosticte benjamini
Boissonneaua matthewsii
Aglaeactis cupripennis
Eulampis jugularis
Anthracothorax nigricollis
Pygoscelis adeliae
Eudyptula minor
Spheniscus humboldti
Megadyptes antipodes
Eudyptes pachyrhynchus
Pelecanoides georgicus
Procellaria aequinoctialis
Procellaria cinerea
Macronectes giganteus
Puffinus nativitatis
Phoebetria fusca
Phoebastria immutabilis
Thalassarche chrysostoma
Phaethon rubricauda
Fulica atra
Gygis alba
Onychoprion lunatus
Onychoprion fuscatus
Anous minutus
Stercorarius maccormicki
Tringa ochropus
Leptotila verreauxi
Merops viridis
Melanerpes formicivorus
Upupa epops
Otus scops
Buteo buteo
Melopsittacus undulatus
Neophema pulchella
Loriculus galgulus
Amazona viridigenalis
Eopsaltria australis
Lanius cristatus
Auriparus flaviceps
Pycnonotus jocosus
Pycnonotus goiavier
Pycnonotus finlaysoni
Alophoixus bres
Zosterops lateralis
Malacopteron cinereum
Psaltriparus minimus
Acrocephalus arundinaceus
Acrocephalus bistrigiceps
Hirundo tahitica
Acridotheres tristis
Sturnus vulgaris
Turdus merula
Zoothera lunulata
Larvivora cyane
Copsychus saularis
Chloropsis sonnerati
Hypothymis azurea
Taeniopygia guttata
Lonchura maja
Lonchura malacca
Rhipidura fuliginosa
Calamospiza melanocorys
Passer domesticus
Passer montanus
Aethopyga siparaja
Arachnothera longirostra
Cinnyris venustus
Nectarinia tacazze
Pachycephala pectoralis
Himatione sanguinea
Cracticus torquatus
Strepera graculina
Ceratopipra mentalis
Manacus vitellinus
Thamnophilus punctatus
Xiphorhynchus guttatus
Neochmia temporalis
Psophodes olivaceus
Pardalotus punctatus
Acanthiza pusilla
Acanthiza uropygialis
Acanthiza chrysorrhoa
Acanthiza lineata
Sericornis frontalis
Smicrornis brevirostris
Melithreptus lunatus
Phylidonyris novaehollandiae
Lichmera indistincta
Gliciphila melanops
