Schedorhinotermes javanicus
Schedorhinotermes sarawakensis
Simplocaria metallica
Simulium venustum
Sisiyphys fasciculatus
Sitophilus granarius
Slaterocoris sp.
Smicronyx imbricata
Solenopsis invicta
Species 1
Species 2
Species 3
Sphaeridium lunatum
Sphaeriontis dilatata
Sphaeroderus stenostomus
Sphingicampa quadrilineata
Sphinx ligustri
Sphodromantis gastrica
Stenocara gracilipes
Stenodontes molaria
Stenodontes sp.
Strategus aloeus
Syncapritermes sp.
Syssphinx molina
Tabanus affinis
Taeinotes scalaris
Taeniopoda eques
Tanaocerus koebeli
Teleogryllus commodus
Tenebrio molitor
Termes borneensis
Tetramorium caespitum
Thais cassandra
Thermophilum babaulti
Thermophilum hexastictum
Trachysomus peregrinus
Tramea carolina
Triaenogeius scupturatus
Tribolium castaneum
Tribolium confusum
Trimerotropis pallidipennis
Trimerotropis saxatilis
Trimerotropis sp.
Trimerotropis suffusa
Triorophus laevis
Trogloderus costatus
Unknown species
Vanessa io
Vieta bulbifera
Vieta muscosa
Xanthippus corallipes
Xenambyx laticauda
Xenopsilla ramesis
Xiphoceriana sp.
Xylocopa capitata
Xylophanes chiron
Xylophanes libya
Xylophanes pluto
Zophobas sp.
Zophosis orbicularis
Aega sp.
Antarctomysis maxima
Anuropus bathypelagicus
Archaeomysis grebnitzkii
Armadillidium nasatum
Armadillidium pallasii
Armadillidium vulgare
Asellus aquaticus
Bathyporeia pelgica
Bathyporeia pilosa
Boreomysis californica
Bovallia gigantea
Brachyscelus latipes
Byblis securiger
Cylisticus convexus
Cyphocaris richardi
Cyphocaris sp.
Cypridina hilgendorfii
Diastylis sp.
Dikerogammarus haemobaphes
Djerboa furcipes
Eurymera monticulosa
Eurythenes gryllus
Eusirus perdentatus
Gammarus duebeni
Gammarus fossarum
Gammarus locusta
Gammarus oceanicus
Gammarus salinus
Gammarus zaddachi
Gigantocypris agassizii
Gigantocypris mulleri
Glyptonotus antarcticus
Gnathophausia gracilis
Gnathophausia zoea
Gondogeneia antarctica
Hemilepistus elegans
Hypererythrops sp.
Hyperia galba
Hyperia gaudichaudii
Hyperia sp.
Hyperiella antarctica
Idotea baltica
Iphinoe sp.
Ligia oceanica
Ligidium japonica
Mesidothea entomon
Mesopodopsis slabberi
Mysis relicta
Neognathophausia gigas
Neognathophausia ingens
Neomysis awatschensis
Neomysis mirabilis
Niphargus krameri
Niphargus rhenorhodanensis
Niphargus sphagnicolus
Niphargus stygius
Niphargus virei
Oniscus asellus
Orchestia bottae
Orchomene sp.
Orchomenella chilensis
Orchomenella plebs
Orchomenella sp.
Paracallisoma coecus
Paramoera walkeri
Paramysis kessleri
Parandania boecki
Phronima sedentaria
Phronima sp.
Pontogeneia antarctica
Porcellio laevis
Porcellio scaber
Pyrocypris sp.
Serolis cornuta
Serolis polita
Stenasellus virei
Synopia ultramarina
Talitrus sylvaticus
Talorchestia megalophtalma
Themisto compressa
Themisto gaudichaudii
Themisto libellula
Viblia antarctica
Waldeckia obesa
Alligator mississippiensis
Amblyrhynchus cristatus
Anarbylus switaki
Chalcides ocellatus
Chelydra serpentina
Chondrodactylus bibronii
Cnemidophorus murinus
Cnemidophorus tigris
Coleonyx variegatus
Coluber constrictor
Crocodylus porosus
Crotalus viridis
Cyclura nubila
Diplodactylus galeatus
Egernia cunninghami
Elgaria multicarinata
Eumeces skiltonianus
Heloderma horridum
Heloderma suspectum
Iguana iguana
Intellagama lesueurii
Lacerta viridis
Masticophis flagellum
Moloch horridus
Naultinus manukanus
Nephrurus asper
Nephrurus levis
Oligosoma macgregori
Oligosoma polychroma
Phelsuma madagascariensis
Phrynosoma douglasii
