taxon_name,PC1,PC2,PC3,PC4,PC5
Pagothenia borchgrevinki,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Trematomus bernacchii,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Trematomus hansoni,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Trematomus pennellii,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Gobionotothen gibberifrons,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Pseudochaenichthys georgianus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Pagetopsis macropterus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Channichthys rhinoceratus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Chaenocephalus aceratus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Gymnodraco acuticeps,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Harpagifer georgianus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Paranotothenia magellanica,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Notothenia coriiceps,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Notothenia rossii,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Serranus scriba,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Centropristis striata,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Epinephelus akaara,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Echiichthys vipera,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
